dcterms:title;dcterms:creator;dcterms:subject;dcterms:issued;dcterms:medium;dcterms:source;dcterms:publisher;dcterms:spatial;dcterms:license;dcterms:rightsHolder;resourceType;itemID;mediaURL
grabado_v_463_1;Noguera;fête,instruments de musique,rue,paysage;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6807106 Novas camarellas y goigs de las butifarras;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_463_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_463_1.jpg/0,190,1541,1020/max/0/default.jpg
grabado_v_023_1;Inconnu;couple,intérieur;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6546827 El duo de la Africana;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_023_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_023_1.jpg/140,131,1422,1268/max/0/default.jpg
grabado_v_043_1;Inconnu;couple,port,bateau;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6556091 Cancion del curro marinero;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_043_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_043_1.jpg/114,225,1643,1082/max/0/default.jpg
grabado_v_113_2;Noguera;couple,extérieur;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6577054 La insurrección en Cuba;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_113_2;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_113_2.jpg/661,283,1012,778/max/0/default.jpg
grabado_v_303_1;Inconnu;couple,extérieur,jardin;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6676229 Los amantes de Teruel;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_303_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_303_1.jpg/179,213,1541,1218/max/0/default.jpg
grabado_v_326_1;Noguera;couple,extérieur,animaux,paysage;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6761529 Hermosa canción del pastor y la Zagala;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_326_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_326_1.jpg/252,197,1145,1296/max/0/default.jpg
grabado_v_327_1;Noguera;couple,extérieur,animaux,village;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6761569 El pastor y la Zagala;El Abanico;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_327_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_327_1.jpg/67,244,1576,1176/max/0/default.jpg
grabado_v_037_1;Cabanach;couple,instrument de musique,jardin;1853;Gravure sur bois;https://doi.org/10.5281/zenodo.6554278 El cantor de las hermosas;Vilaregut y Companía;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_037_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_037_1.jpg/0,481,1585,1173/max/0/default.jpg
grabado_v_031_1;M.C.;couple,instruments de musique,rue,paysage;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6554174 El cantor de las hermosas;Narciso Ramírez;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_031_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_031_1.jpg/0,324,816,605/max/0/default.jpg
grabado_v_305_2;M.C.;couple,extérieur,armes;1861;Gravure sur bois;https://doi.org/10.5281/zenodo.6676256 El cantor de las hermosas;Narciso Ramírez;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_305_2;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_305_3.jpg/554,57,750,1150/max/0/default.jpg
grabado_v_070_1;Cabanach;couple,armes,jardin;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6562963 El cantor de las hermosas;Antonio Bosch;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_070_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_070_1.jpg/53,773,1675,1257/max/0/default.jpg
grabado_v_157_1;Noguera;couple,armes,interieur;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6587110 Guzman el Bueno;Llorens;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_157_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_157_1.jpg/175,289,1489,1233/max/0/default.jpg
grabado_v_296_2;Cabanach;couple,armes,extérieur,ruines;1862;Gravure sur bois;https://doi.org/10.5281/zenodo.6669621 El cantor de las hermosas;Narciso Ramírez;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_296_2;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_296_1.jpg/980,640,670,1111/max/0/default.jpg
grabado_v_330_1;Noguera;couple,interieur;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6761682 Isabel la Católica;Llorens;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_330_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_330_1.jpg/57,99,1520,1257/max/0/default.jpg
grabado_v_380_1;Noguera;couple,animaux,calèche;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6783548 El calesero andaluz;Llorens;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_380_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_380_1.jpg/116,210,1371,1004/max/0/default.jpg
grabado_v_416_1;Cabanach;couple,armes,fête,intérieur;[s.d.];Gravure sur bois;https://doi.org/10.5281/zenodo.6787774 El cantor de las hermosas;Narciso Ramírez;https://www.geonames.org/3128760/barcelona.html Barcelona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_v_416_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/varios/Varios_416_1.jpg/3,672,1639,1287/max/0/default.jpg
grabado_m_306_1;Inconnu;couple,fête,intérieur;1858;Gravure sur bois;https://doi.org/10.5281/zenodo.12730742 Romance en que se da cuenta y declara la tragica y verdadera historia de la Hermosa Rosimunda;José María Moreno;https://www.geonames.org/2520118/carmona.html Carmona;CC0;Bibliothèque de l'Université de Genève (BUNIGE);item;;
;;;;;;;;;;media;grabado_m_306_1;https://iiif.hedera.unige.ch/iiif/3/pliegos/moreno/Moreno_306_1.jpeg/302,292,1114,945/max/0/default.jpg
